index,County,SIR,AIR,Lower CI,Upper CI,Recent Trend,Recent IR,Date
314,"Glades County, Florida(6,10)",25.2,54.9,41.8,71.7,stable,1.9,14-10-2013
315,"Gulf County, Florida(6,10)",27.3,92.6,75.2,113.4,stable,-1.2,15-10-2013
316,"Hamilton County, Florida(6,10)",22.1,67.8,51.2,88.3,stable,15.5,16-10-2013
317,"Hardee County, Florida(6,10)",25.5,69,56.1,84,stable,1.3,17-10-2013
318,"Hendry County, Florida(6,10)",21.5,65.2,54.1,77.9,stable,1.7,18-10-2013
319,"Hernando County, Florida(6,10)",25.1,74.9,70.6,79.5,stable,-5.2,19-10-2013
320,"Highlands County, Florida(6,10)",27.6,73.3,67.7,79.3,stable,0.4,20-10-2013
321,"Hillsborough County, Florida(6,10)",22.4,69.7,67.6,71.8,falling,-2.8,21-10-2013
322,"Holmes County, Florida(6,10)",26.3,71.2,57.6,87.3,stable,5.2,22-10-2013
323,"Indian River County, Florida(6,10)",22.6,67,62.4,71.9,stable,-2.6,23-10-2013
324,"Jackson County, Florida(6,10)",18.8,48.4,41,56.8,stable,3.4,24-10-2013
